Name,Category,Type,Neighborhood,Address,Latitude,Longitude,Dog Treats,Water Bowls,Description
The Ice Cream Bar,Dessert,Food/Drink,Cole Valley,815 Cole St,37.76703329,-122.4502943,Y,Y,Ice cream parlor with dog-friendly ice cream
Palm House,Restaurant,Food/Drink,Marina,2032 Union St,37.7978672,-122.4329366,Y,Y,Tropical themed restaurant with dog treats and water bowls
Epic Steak,Restaurant,Food/Drink,Embarcardero,369 The Embarcadero,37.79101641,-122.3894789,Y,Y,Waterfront steakhouse with dog menu and water bowl
Devils Teeth Baking Company,Cafe,Food/Drink,Outer Sunset,3876 Noriega St,37.75333379,-122.5050063,Y,Y,Bakery that has dog treats and water bowls
Atlas Cafe,Cafe,Food/Drink,Mission District,3049 20th St,37.76454046,-122.4116501,N,Y,Cozy cafe with dog-friendly outdoor seating and water bowls
Cafe Reveille,Cafe,Food/Drink,Mission Bay,610 Long Bridge St,37.77433318,-122.3911765,Y,Y,Dog-loving neighborhood cafe with treats and water bowls
7 Mile House,Restaurant,Food/Drink,Brisbane,2800 Bayshore Blvd,37.70493672,-122.4075382,Y,Y,"Historic pub offernig dog menu with treats and ""beer"""
Saint Frank Coffee,Cafe,Food/Drink,Russian Hill,2340 Polk St,37.80537613,-122.4209822,N,Y,Coffee bar with water bowls
Alamo Square Dog Play Area,Park,Park,Alamo Square,Hayes St,37.77701245,-122.4346907,N,Y,Park with fenced dog zone
Duboce Park Dog Play Area,Park,Park,Duboce Triangle,Scott St,37.76974933,-122.4333022,N,Y,Central park popular for off-leash dogs
Bernal Heights Dog Park,Park,Park,Bernal Heights,Bernal Heights Blvd,37.74384022,-122.4133408,N,Y,Hilltop park with large natural area
Alta Plaza Park,Park,Park,Pacific Heights,Steiner St,37.79141245,-122.4377154,N,Y,Hilltop park with 360 degrees city views
Buena Vista Park,Park,Park,Haight-Ashbury,Haight St,37.77113948,-122.4430653,N,Y,Enclosed dog play area
Lafayette Park Dog Play Area,Park,Park,Pacific Heights,Washington St,37.79215304,-122.4275358,N,Y,Fenced section for dogs in scenic park
Mission Dolores Park,Park,Park,Mission District,Dolores St,37.76037959,-122.4267852,N,Y,Large grassy park popular for dogs
Baker Beach,Beach,Beach,Presidio,Baker Beach,37.79438536,-122.4838456,N,N,Dog-friendly beach with ocean views
Crissy Field Beach,Beach,Beach,Presidio,Crissy Field,37.80460069,-122.4651886,N,N,Leash-optional areas for dogs
Golden Gate Park,Park,Park,Golden Gate Park,Golden Gate Park,37.76904749,-122.4829448,N,Y,"Expansive park, off-leash permitted"
Ocean Beach,Beach,Beach,Outer Sunset,Ocean Beach,37.76178843,-122.5106538,N,Y,Dog-friendly along western edge
Le Marcel Bakery for Dogs,Dog Bakery,Treats,Cow Hollow,2066 Union St,37.79776109,-122.4333221,Y,Y,All natural sweet treats for dogs
Mishka Dog Boutique,Dog Bakery,Treats,Cow Hollow,2124 Union St,37.79834697,-122.4343523,Y,Y,Pet boutique with bakery section.
The Pawtrero Bathhouse & Feed Co.,Dog Bakery,Treats,Potrero,199 Mississippi St,37.76425413,-122.3944614,Y,N,"Dog bakery, grooming & community hub."
Dogue SF,Dog Bakery,Treats,Mission District,988 Valencia St,37.75841237,-122.4212319,Y,Y,"Fine dining for dogs, fresh treats"
